Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
9646;Fist of the North Star Pachinko CR;http://media.gamestats.com/gg/image/object/772/772233/crhokutonokenpachi_ps2jpboxboxart_160h.jpg;Casino;PS2;SEGA;Hisshou Pachinko Series Vol. 1: CR Shinseiki Evangelion;High Rollers Casino;Jissen Pachislo Hisshouhou! Fist of the North Star;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9647;Minestorm/II;;Action;Vectrex;Unknown;Star Trek: The Motion Picture;Polar Rescue;Narrow Escape;Scramble;Star Trek: The Motion Picture;Dark Tower;;;
9648;Star Wars Pinball;http://media.ign.com/games/image/object/159/159821/Star-Wars-Pinball_iOSboxart_160h.jpg;Pinball;iPhone 3DS PS3 Wii U Android;Zen;The Pinball Arcade;Frogger Pinball;Pinball Crystal Caliburn II;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
9649;Jissen Pachislo Hisshouhou! Fist of the North Star;http://media.gamestats.com/gg/image/hokutonkenpachislot_ps2jpboxboxart_160h.jpg;Casino;PS2 PSP NDS;SEGA;Hisshou Pachinko Series Vol. 1: CR Shinseiki Evangelion;High Rollers Casino;Fist of the North Star Pachinko CR;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9650;World Series of Poker 2008: Battle for the Bracelets;http://xbox360media.ign.com/xbox360/image/object/948/948196/battleforthebraceletsxobx360boxart_160h.jpg;Card;Xbox 360 PS2 NDS PC PSP;Activision;Magic 2015 -- Duels of the Planewalkers;Magic: The Gathering -- Duels of the Planeswalkers 2013;Full House Poker;Watch Dogs;Diablo III;Borderlands 2;;;
9651;Martian Successor Nadesico: Nadesico the Mission;;Simulation;DC;ESP;Railroad Tycoon II;Toy Commander;Marionette Handler;NBA 2K1;Marvel vs. Capcom: Clash of Super Heroes;Shenmue;;;
9652;Meteor Breakout;;Shooter;PDA Palm Cell;Mobile;Anthelion 2: Celestial Vigilance;DarXide EMP;Daedalus 3D;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
9653;Under Defeat HD;http://media.ign.com/games/image/object/121/121282/Under-Defeat-HD_PS3_US_ESRBboxart_160h.jpg;Shooter;PS3 Xbox 360 Arcade DC;Rising;Call of Duty: Black Ops II;Borderlands 2;Dust 514;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9654;Rayman;http://pcmedia.ign.com/pc/image/object/054/054668/Rayman_DSiWareboxart_160h.jpg;Platformer;DSi GBA PS Cell PSP PS3 PC Saturn Giz Jaguar;Ubisoft;Shantae: Risky's Revenge;DodoGo!;Earthworm Jim;The Legend of Zelda: Four Swords Anniversary Edition;Art Style: Aquia;Mario vs. Donkey Kong: Minis March Again!;;;
9655;World Series of Poker 2008: Battle for the Bracelets;http://media.ign.com/games/image/object/948/948198/worldseriespoker2k8pspboxart_160h.jpg;Card;PSP PS2 NDS PC PS3;Activision;Yu-Gi-Oh! GX Tag Force 3;Yu-Gi-Oh! 5D's Tag Force 4;Yu-Gi-Oh! 5D's Tag Force 5;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9656;Under Defeat HD;;Shooter;Xbox 360 PS3 Arcade DC;G.Rev;Borderlands 2;Halo 4;Gears of War: Judgment;Watch Dogs;Diablo III;Borderlands 2;;;
9657;Meteor Breakout;;Shooter;Cell PDA Palm;Mobile;Micro Counter Strike;Call of Duty: Black Ops;Conflict: Global Storm;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9658;Lost Kingdoms II;http://cubemedia.ign.com/cube/image/object/497/497846/642359boxart_160h.jpg;Card;GCN;Activision;Baten Kaitos Origins;Baten Kaitos: Eternal Wings and the Lost Ocean;Lost Kingdoms;Digimon World 4;Fire Emblem: Path of Radiance;Final Fantasy Crystal Chronicles;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
9659;Rayman Advance;http://pocketmedia.ign.com/pocket/image/object/015/015895/606801boxart_160h.jpg;Platformer;GBA DSi PS Cell PSP PS3 PC Saturn Giz Jaguar;Ubisoft;Super Mario Advance 4: Super Mario Bros. 3;Super Mario Advance 2: Super Mario World;Oggy and the Cockroaches;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
9660;Anthelion 2: Celestial Vigilance;;Shooter;PDA;PDAmill;Meteor Breakout;DarXide EMP;Daedalus 3D;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
9661;Rayman;http://pcmedia.ign.com/pc/image/object/000/000069/Rayman1_PS1Boxboxart_160h.jpg;Platformer;PS DSi GBA Cell PSP PS3 PC Saturn Giz Jaguar;Ubisoft;Crash Bandicoot: Warped;Crash Bandicoot;Crash Bandicoot 2: Cortex Strikes Back;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
9662;Under Defeat;;Shooter;Arcade PS3 Xbox 360 DC;SEGA;1942;Chiller;Defender;Tekken 6;1942;Tekken Tag Tournament 2;;;
9663;Baten Kaitos Origins;http://media.ign.com/games/image/object/772/772298/Baten-Kaitos-Origins_Cube_US_ESRBboxart_160h.jpg;Card;GCN;Namco;Lost Kingdoms II;Baten Kaitos: Eternal Wings and the Lost Ocean;Lost Kingdoms;Digimon World 4;Fire Emblem: Path of Radiance;Final Fantasy Crystal Chronicles;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
9664;DarXide EMP;;Shooter;PDA Cell;Frontier;Meteor Breakout;Anthelion 2: Celestial Vigilance;Daedalus 3D;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
9665;Rayman;http://pocketmedia.ign.com/pocket/image/object/012/012960/601255boxart_160h.jpg;Action;GBC DSi GBA PS PSP PS3 PC Saturn Giz Jaguar;Ubisoft;The Legend of Zelda: Oracle of Seasons;The Legend of Zelda: Oracle of Ages;Batman: Chaos in Gotham;Pokemon Silver Version;Pokemon Gold Version;Pokemon Crystal Version;;;
9666;FIFA International Soccer;;Sports;GG GB Gen 3DO Sega-CD SNES;Electronic;NBA Jam: Tournament Edition;George Foreman's K.O. Boxing;"Evander Holyfield's ""Real Deal"" Boxing";Mortal Kombat II;Crystal Warriors;Mortal Kombat [1993];;;
9667;Mass Effect;http://dsmedia.ign.com/ds/image/object/718/718963/masseffectfinalboxboxart_160h.jpg;RPG;Xbox 360 PC PS3;Microsoft;The Elder Scrolls V: Skyrim -- Dawnguard;Mass Effect 3;The Elder Scrolls V: Skyrim;Watch Dogs;Diablo III;Borderlands 2;;;
9668;Baten Kaitos: Eternal Wings and the Lost Ocean;http://media.gamestats.com/gg/image/object/481/481671/batenkaitos_gcnusboxboxart_160h.jpg;Card;GCN;Namco;Lost Kingdoms II;Baten Kaitos Origins;Lost Kingdoms;Digimon World 4;Fire Emblem: Path of Radiance;Final Fantasy Crystal Chronicles;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
9669;PilotMicroRace;;Racing;Palm PDA;Viex;GTS Racing Challenge;MicroQuad;K-Rally;Austin Powers Pinball;Frutakia;Shadowgate Classic;;;
9670;Rayman;;Platformer;PSP DSi GBA PS GBC PS3 PC Saturn Giz Jaguar;Ubisoft;LittleBigPlanet;Daxter;Ape Escape: On the Loose;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9671;Mass Effect (Platinum Hits);http://pcmedia.ign.com/pc/image/object/142/14271810/mass_effect_360_platboxart_160h.jpg;RPG;Xbox 360;Microsoft;The Elder Scrolls V: Skyrim -- Dawnguard;Mass Effect 3;The Elder Scrolls V: Skyrim;Watch Dogs;Diablo III;Borderlands 2;;;
9672;MicroQuad;;Racing;Cell Palm PDA;Viex;Raging Thunder 2;Tank Racer;IHRA Drag Racing Multiplayer;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9673;Yu-Gi-Oh! The Dawn of Destiny;http://media.gamestats.com/gg/image/yugidawnofdestiny_xboxboxboxart_160h.jpg;Card;Xbox;Konami;World Series of Poker;Hardwood Solitaire;World Championship Poker 2: Featuring Howard Lederer;Halo 2;Halo: Combat Evolved;Fable;;;
9674;Mass Effect (Limited Collector's Edition);http://media.gamestats.com/gg/image/object/142/14208438/MassEffect-LE_360_USboxart_160h.jpg;RPG;Xbox 360;Microsoft;The Elder Scrolls V: Skyrim -- Dawnguard;Mass Effect 3;The Elder Scrolls V: Skyrim;Watch Dogs;Diablo III;Borderlands 2;;;
9675;Rayman;;Platformer;PS3 DSi GBA PS GBC PSP PC Saturn Giz Jaguar;Ubisoft;Sly Cooper: Thieves in Time;LittleBigPlanet 2;LittleBigPlanet;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
9676;MicroQuad;;Racing;PDA Palm Cell;Viex;Flux Challenge;Dreamway;Stuntcar Extreme;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
9677;Rayman;http://pcmedia.ign.com/pc/image/object/003/003436/609259boxart_160h.jpg;Action;PC DSi GBA PS GBC PSP PS3 Saturn Giz Jaguar;Ubisoft;Dark Souls II;Alien: Isolation;Assassin's Creed III;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9678;World Series of Poker;http://xboxmedia.ign.com/xbox/image/object/753/753324/worldserofpoke_xboxboxboxart_160h.jpg;Card;Xbox GCN PSP PS2;Activision;Yu-Gi-Oh! The Dawn of Destiny;Hardwood Solitaire;World Championship Poker 2: Featuring Howard Lederer;Halo 2;Halo: Combat Evolved;Fable;;;
9679;Xbox 360: The Official Xbox Magazine Issue 50 Demo Disc [UK];;Sampler;Xbox 360;Microsoft;Mass Effect;Xbox 360: The Official Xbox Magazine Issue 46 Demo Disc [UK];Xbox 360: The Official Xbox Magazine Issue 48 Demo Disc [UK];Watch Dogs;Diablo III;Borderlands 2;;;
9680;K-Rally;;Racing;Cell Palm PDA;Infinite;Raging Thunder 2;Tank Racer;IHRA Drag Racing Multiplayer;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9681;Rayman;http://codesmedia.ign.com/codes/image/object/001/001840/603539boxart_160h.jpg;Platformer;Saturn DSi GBA PS GBC PSP PS3 PC Giz Jaguar;Ubisoft;NiGHTS into Dreams...;NiGHTS Into Dreams...;Sonic Jam;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny;;;
9682;Hardwood Solitaire;;Card;Xbox;Microsoft;Yu-Gi-Oh! The Dawn of Destiny;World Series of Poker;World Championship Poker 2: Featuring Howard Lederer;Mega Man Anniversary Collection;Capcom Classics Collection Vol. 1;Sonic Mega Collection Plus;Halo 2;Halo: Combat Evolved;Fable
9683;Culdcept 3DS;;Card;3DS;Omiya;Classic Games Overload: Card and Puzzle Edition;Arc Style: Solitaire;3D Solitaire;Medabots: Dual -- Kuwagata Version;Medabots: Dual -- Kabuto Version;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;
9684;K-Rally;;Racing;PDA Cell Palm;Infinite;Flux Challenge;Dreamway;Stuntcar Extreme;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
9685;Rayman;;Action;Giz DSi GBA PS GBC PSP PS3 PC Saturn Jaguar;Gizmondo;Halo;Carmageddon;Conflict: Vietnam;Halo;Stuntcar Extreme;Carmageddon;;;
9686;The Sims 2: Castaway;http://xbox360media.ign.com/xbox360/image/object/908/908921/simscasatawywiiboxart_160h.jpg;Simulation;Wii Cell NDS PS2;Electronic;Animal Crossing: City Folk;Muramasa: The Demon Blade;Harvest Moon: Animal Parade;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9687;Classic Games Overload: Card and Puzzle Edition;http://wiimedia.ign.com/wii/image/object/135/135970/classic_overlodas_3dsboxart_160h.jpg;Card;3DS;Telegames;Culdcept 3DS;Arc Style: Solitaire;3D Solitaire;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
9688;WWF Wrestlemania: The Arcade Game;http://psxmedia.ign.com/psx/image/object/000/000714/603119boxart_160h.jpg;Wrestling;PS Gen SNES Saturn Arcade 32X;Acclaim;WWF Smackdown!;WWF Smackdown! 2: Know Your Role;WWF Warzone;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
9689;Doraslot Kyojin no Hoshi II;;Casino;PSP;Dorasu;Daito Giken Koushiki Pachislo Simulator Yoshimune;Playwize Poker and Casino;Vegas Casino 2;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9690;Arc Style: Solitaire;;Card;3DS;ARC;Culdcept 3DS;Classic Games Overload: Card and Puzzle Edition;3D Solitaire;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
9691;The Sims 2: Castaway;http://media.ign.com/games/image/object/142/14233833/sims2-Castaway_LOGOboxart_160h.jpg;Simulation;Cell Wii NDS PS2;EA;The Sims 3: Ambitions;Townsmen;The Sims 3;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9692;Daito Giken Koushiki Pachislo Simulator Yoshimune;;Casino;PSP PS2;Daito;Doraslot Kyojin no Hoshi II;Playwize Poker and Casino;Vegas Casino 2;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9693;Saturday Night Slam Masters;http://codesmedia.ign.com/codes/image/object/009/009013/606205boxart_160h.jpg;Wrestling;Gen Arcade SNES;Capcom;WWF Wrestlemania: The Arcade Game;Cutie Suzuki's Ringside Angel;Wrestle War;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
9694;Leisure Suit Larry: Magna Cum Laude;http://media.gamestats.com/gg/image/lslmagnacumlaude_ps2boxboxart_160h.jpg;Adventure;PS2 Xbox PC Cell;Vivendi;Shadow of the Colossus;ICO;Silent Hill 2;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9695;The Sims 2: Castaway;http://dsmedia.ign.com/ds/image/object/908/908920/Sims2CastawayDSBoxboxart_160h.jpg;Simulation;NDS Wii Cell PS2;Electronic;Harvest Moon: The Tale of Two Towns;Harvest Moon DS;Harvest Moon: Island of Happiness;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
9696;Playwize Poker and Casino;;Casino;PSP PS2;505;Doraslot Kyojin no Hoshi II;Daito Giken Koushiki Pachislo Simulator Yoshimune;Vegas Casino 2;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9697;Cutie Suzuki's Ringside Angel;http://media.ign.com/games/image/object/787/787277/CutieSusukiRingsideAngel_MGBOX-fboxart_160h.jpg;Wrestling;Gen;Asmik;WWF Wrestlemania: The Arcade Game;Saturday Night Slam Masters;Wrestle War;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
9698;Leisure Suit Larry: Magna Cum Laude;http://media.gamestats.com/gg/image/lslmagnacumlaude_pcboxboxart_160h.jpg;Adventure;PC PS2 Xbox Cell;Sierra;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9699;Fish Tycoon;;Virtual Pet;PDA Cell PC NDS;LDW;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;;;;
9700;Wrestle War;;Wrestling;Gen Arcade;SEGA;WWF Wrestlemania: The Arcade Game;Saturday Night Slam Masters;Cutie Suzuki's Ringside Angel;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
9701;World Cup USA '94;;Sports;GB Sega-CD PC;Sunsoft;NBA Jam 99;Nintendo World Cup;Nekketsu Volleyball;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
9702;Fish Tycoon;;Virtual Pet;PC Cell PDA NDS;LDW;Puppy Luv Adventures;Pippa Funnell: The Golden Stirrup Challenge;Catz 5: Your Computer Petz;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9703;Leisure Suit Larry: Magna Cum Laude;;Adventure;Cell PS2 Xbox PC;Vivendi;Darkest Fear;Surviving Hollywood;Ghostwire: Link to the Paranormal;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9704;Guitar Hero 5 (Guitar Kit);http://media.ign.com/games/image/object/001/001559/Guitar-Hero-5_US_FINAL_x360_Guitar-Kitboxart_160h.jpg;Music;Xbox 360;Activision;Dance Central 3;Rock Band Blitz;Disney Fantasia: Music Evolved;Watch Dogs;Diablo III;Borderlands 2;;;
9705;World Cup USA '94;http://pcmedia.ign.com/pc/image/object/621/621049/609456boxart_160h.jpg;Sports;PC Sega-CD GB;U.S.;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9706;Fish Tycoon;http://xbox360media.ign.com/xbox360/image/object/926/926459/fishtycoon1dsboxart_160h.jpg;Virtual Pet;NDS Cell PDA PC;Majesco;Nintendogs: Dachshund & Friends;Viva Piñata: Pocket Paradise;Nintendogs: Chihuahua & Friends;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
9707;Rayman Raving Rabbids;http://pocketmedia.ign.com/pocket/image/object/851/851960/raymanravingrabbids_gbaboxboxart_160h.jpg;Platformer;GBA Mac PS2 PC Wii NDS PSP Cell;Ubisoft;Super Mario Advance 4: Super Mario Bros. 3;Super Mario Advance 2: Super Mario World;Oggy and the Cockroaches;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
9708;World Series of Poker 2008: Battle for the Bracelets;http://media.ign.com/games/image/object/952/952371/WorldSeriesOfPoker_DS_USboxart_160h.jpg;Card;NDS PS2 PC Xbox 360 PSP;Activision;Yu-Gi-Oh! 5D's World Championship 2011: Over The Nexus;Yu-Gi-Oh!: Spirit Caller;Yu-Gi-Oh! 5D's Stardust Accelerator World Championship 2009;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
9709;Pinball Hall of Fame;http://media.gamestats.com/gg/image/object/699/699510/pinballhalloffame_gcnboxboxart_160h.jpg;Pinball;GCN Wii Xbox PSP;Crave;Odama;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine;;;;;
9710;Venus Flytrap;http://media.gamestats.com/gg/image/object/716/716362/VenusFlytrap_TopScreenboxart_160h.jpg;Virtual Pet;Cell;Handy;Fish Tycoon;Handheld Aquarium;Insaniquarium Deluxe;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
9711;Yoostar Entertainment System;http://media.ign.com/games/image/object/095/095022/Yoostar_COMPLETESET_USboxart_160h.jpg;Party;Mac PC;YooStar;The Great Games Compendium;Britannica Word Games Platinum;Rayman Raving Rabbids;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
9712;Hyper 3D Pinball;http://pcmedia.ign.com/pc/image/object/008/008839/644303boxart_160h.jpg;Pinball;PC Saturn PS;Virgin;Space Cadet Pinball;The Pinball Arcade;Pinball Master;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
9713;The Sims 2: Pets;http://pcmedia.ign.com/pc/image/object/837/837839/sims2pets_ps2boxboxart_160h.jpg;Simulation;PS2 GCN GBA Mac PC Cell PSP Wii;Electronic;The Sims;The Sims: Bustin' Out;Playboy: The Mansion;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
9714;Pinball Hall of Fame: The Gottlieb Collection;http://starsmedia.ign.com/stars/image/object/864/864194/Pinball-Hall-of-Fame_Gottlieb_Wii_US_ESRB_COVERboxart_160h.jpg;Pinball;Wii GCN Xbox PSP;Crave;Planet Pachinko;Alien Crush;Alien Crush Returns;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
9715;Hyper 3D Pinball;;Pinball;PS PC Saturn;Virgin;The Pinball 3D;True Pinball;Dragon Beat: Legend of Pinball;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
9716;The Great Games Compendium;http://media.gamestats.com/gg/image/GreatGamesCompendium_PCBOX_20041015boxart_160h.jpg;Party;Mac PC;Viva;Yoostar Entertainment System;Britannica Word Games Platinum;Rayman Raving Rabbids;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
9717;Kirby's Pinball Land;;Pinball;3DS GB;Nintendo;Pinball Hall of Fame: The Williams Collection;Marvel Pinball 3D;Zen Pinball 3D;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
9718;Insaniquarium Deluxe!;http://pcmedia.ign.com/pc/image/object/726/726097/684099boxart_160h.jpg;Puzzle;PC Cell;PopCap;Valiant Hearts: The Great War;The Witness;Never Alone;Star Citizen;Need for Speed Most Wanted;Lords of the Fallen;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
9719;Pinball Hall of Fame;http://pspmedia.ign.com/psp/image/object/773/773870/Pinball-Hall-of-Fame-PSP-Frboxart_160h.jpg;Pinball;PSP GCN Wii Xbox;Crave;Pinball Hall of Fame: The Williams Collection;Pinball Heroes: High Velocity Bowling;Pinball Heroes: Pain!;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9720;Britannica Word Games Platinum;;Party;Mac;Selectsoft;Yoostar Entertainment System;The Great Games Compendium;Rayman Raving Rabbids;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
9721;Zen Pinball 3D;http://dsmedia.ign.com/ds/image/object/116/116153/3DSWareZenPinball3Dboxart_160h.jpg;Pinball;3DS;Zen;Pinball Hall of Fame: The Williams Collection;Kirby's Pinball Land;Marvel Pinball 3D;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
9722;Metal Slug 2;;Action;PSP NGCD iPhone Wii PS3 NG;SNK;Kingdom Hearts: Birth by Sleep;Metal Gear Solid: Peace Walker;God of War: Chains of Olympus;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
9723;J-League Pro Soccer Club o Tsukurou;;Sports;Saturn;SEGA;PGA Tour '96;FIFA '97;Funky Head Boxers;Winning Post;World Cup '98 France -- Road to Win;J-League Coach-World Soccer RPG;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny
9724;Pinball Quest;;Pinball;NES;Jaleco;Pinball;Pin Bot;High Speed;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
9725;Warlords II;;Strategy;PDA PC Mac PC;Pocket;Age of Empires;Snails;Plant Tycoon;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
9726;Metal Slug 2;;Shooter;NGCD PSP iPhone Wii PS3 NG;SNK;Metal Slug;Alpha Mission II;Sonic Wings 3;The King of Fighters '97;Double Dragon [1995];Last Blade;;;
9727;Pin Bot;;Pinball;NES;Nintendo;Pinball;Pinball Quest;High Speed;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
9728;World Cup '98 France -- Road to Win;;Sports;Saturn;SEGA;PGA Tour '96;FIFA '97;Funky Head Boxers;Winning Post;J-League Pro Soccer Club o Tsukurou;J-League Coach-World Soccer RPG;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny
